,doc,topic
0,111,3
1,112,1
2,113,1
3,114,1
4,121,2
5,122,1
6,123,0
7,124,3
8,131,4
9,132,0
10,133,0
11,211,0
12,212,4
13,213,4
14,214,4
15,215,4
16,221,4
17,222,4
18,223,4
19,224,4
20,225,4
21,231,4
22,232,4
23,233,4
24,234,0
25,235,0
26,311,4
27,312,4
28,313,4
29,314,0
30,321,4
31,322,4
32,323,4
33,324,4
34,331,4
35,332,4
36,333,4
37,334,4
38,411,4
39,412,4
40,413,0
41,414,4
42,421,0
43,422,4
44,423,4
45,424,4
46,431,4
47,432,4
48,433,4
49,434,4
50,511,4
51,512,4
52,513,3
53,522,4
54,523,4
55,524,0
56,531,4
57,532,4
58,533,4
59,611,4
60,612,4
61,613,4
62,614,4
63,621,4
64,622,3
65,623,4
66,624,4
67,631,4
68,632,4
69,633,4
70,634,4
71,711,4
72,712,4
73,713,4
74,714,4
75,715,4
76,722,0
77,723,4
78,724,4
79,725,4
80,726,4
81,731,4
82,732,4
83,733,4
84,734,4
85,735,4
86,811,4
87,812,0
88,813,4
89,814,4
90,815,4
91,821,4
92,822,4
93,823,4
94,824,4
95,825,4
96,831,4
97,832,4
98,833,3
99,834,4
100,835,4
101,911,4
102,912,4
103,913,0
104,914,4
105,915,4
106,921,4
107,922,4
108,923,4
109,924,3
110,925,4
111,931,4
112,932,4
113,933,4
114,934,4
115,935,4
116,1011,4
117,1012,4
118,1013,4
119,1014,4
120,1021,4
121,1022,4
122,1023,4
123,1024,4
124,1031,4
125,1032,4
126,1033,4
127,1034,0
128,1111,4
129,1112,4
130,1113,4
131,1114,4
132,1115,4
133,1121,4
134,1122,4
135,1123,4
136,1124,4
137,1125,4
138,1131,4
139,1132,4
140,1133,4
141,1134,4
142,1135,4
143,1211,0
144,1212,0
145,1213,0
146,1214,2
147,1215,2
148,1221,4
149,1222,4
150,1223,4
151,1224,2
152,1225,4
153,1231,0
154,1232,0
155,1233,4
156,1234,0
157,1235,4
158,1411,0
159,1412,4
160,1413,4
161,1414,0
162,1421,0
163,1422,4
164,1423,4
165,1424,2
166,1431,4
167,1432,0
168,1433,2
169,1434,0
170,1511,4
171,1512,4
172,1513,4
173,1522,4
174,1523,4
175,1524,4
176,1531,4
177,1532,4
178,1533,4
179,1611,4
180,1612,4
181,1613,4
182,1614,0
183,1621,4
184,1622,4
185,1623,4
186,1624,4
187,1631,4
188,1632,4
189,1633,4
190,1634,4
191,1651,0
192,1652,0
193,1653,4
194,1654,2
195,1655,2
196,1711,2
197,1712,4
198,1713,0
199,1722,4
200,1723,0
201,1724,0
202,1731,0
203,1732,4
204,1733,0
205,1811,0
206,1812,0
207,1813,0
208,1814,2
209,1821,0
210,1822,3
211,1823,0
212,1824,0
213,1831,0
214,1832,1
215,1833,3
216,1834,0
217,1911,0
218,1912,0
219,1913,0
220,1914,0
221,1915,0
222,1921,0
223,1922,0
224,1923,4
225,1924,4
226,1925,0
227,1931,0
228,1932,0
229,1933,0
230,1934,0
231,1935,0
232,2011,4
233,2012,0
234,2013,0
235,2022,0
236,2023,3
237,2024,0
238,2031,4
239,2032,0
240,2033,0
241,2211,4
242,2212,4
243,2213,4
244,2221,4
245,2222,4
246,2223,4
247,2232,4
248,2233,4
249,2234,4
250,2411,0
251,2412,0
252,2413,0
253,2422,4
254,2423,0
255,2424,0
256,2431,0
257,2432,0
258,2433,0
259,2511,4
260,2512,4
261,2513,4
262,2514,4
263,2515,0
264,2521,4
265,2522,0
266,2523,4
267,2524,4
268,2525,4
269,2531,4
270,2532,4
271,2533,3
272,2534,4
273,2535,4
