,doc,topic
0,111,4
1,112,4
2,113,1
3,114,1
4,121,1
5,122,1
6,123,1
7,124,2
8,131,2
9,132,1
10,133,0
11,211,2
12,212,0
13,213,0
14,214,0
15,215,0
16,221,0
17,222,0
18,223,2
19,224,0
20,225,0
21,231,0
22,232,0
23,233,0
24,234,0
25,235,0
26,311,0
27,312,0
28,313,0
29,314,0
30,321,0
31,322,0
32,323,0
33,324,0
34,331,0
35,332,0
36,333,0
37,334,0
38,411,2
39,412,0
40,413,0
41,414,0
42,421,0
43,422,0
44,423,0
45,424,0
46,431,0
47,432,0
48,433,0
49,434,0
50,511,0
51,512,0
52,513,4
53,522,0
54,523,0
55,524,0
56,531,0
57,532,0
58,533,0
59,611,0
60,612,0
61,613,0
62,614,0
63,621,0
64,622,4
65,623,0
66,624,0
67,631,0
68,632,4
69,633,0
70,634,2
71,711,0
72,712,0
73,713,0
74,714,0
75,715,0
76,722,0
77,723,0
78,724,0
79,725,0
80,726,0
81,731,0
82,732,0
83,733,0
84,734,0
85,735,2
86,811,0
87,812,0
88,813,3
89,814,0
90,815,2
91,821,2
92,822,0
93,823,0
94,824,0
95,825,0
96,831,0
97,832,0
98,833,4
99,834,0
100,835,0
101,911,0
102,912,2
103,913,0
104,914,0
105,915,0
106,921,0
107,922,0
108,923,0
109,924,2
110,925,0
111,931,0
112,932,0
113,933,0
114,934,0
115,935,0
116,1011,0
117,1012,0
118,1013,0
119,1014,0
120,1021,0
121,1022,0
122,1023,0
123,1024,0
124,1031,0
125,1032,0
126,1033,0
127,1034,2
128,1111,0
129,1112,0
130,1113,0
131,1114,0
132,1115,0
133,1121,0
134,1122,0
135,1123,0
136,1124,0
137,1125,0
138,1131,0
139,1132,0
140,1133,0
141,1134,0
142,1135,0
143,1211,0
144,1212,0
145,1213,0
146,1214,1
147,1215,0
148,1221,2
149,1222,0
150,1223,0
151,1224,1
152,1225,0
153,1231,0
154,1232,2
155,1233,2
156,1234,0
157,1235,0
158,1411,0
159,1412,0
160,1413,0
161,1414,0
162,1421,0
163,1422,0
164,1423,0
165,1424,0
166,1431,0
167,1432,2
168,1433,0
169,1434,0
170,1511,0
171,1512,0
172,1513,0
173,1522,0
174,1523,0
175,1524,0
176,1531,0
177,1532,0
178,1533,0
179,1611,0
180,1612,0
181,1613,0
182,1614,0
183,1621,2
184,1622,0
185,1623,0
186,1624,0
187,1631,0
188,1632,0
189,1633,0
190,1634,0
191,1651,3
192,1652,3
193,1653,3
194,1654,3
195,1655,3
196,1711,0
197,1712,0
198,1713,0
199,1722,2
200,1723,0
201,1724,0
202,1731,0
203,1732,4
204,1733,0
205,1811,0
206,1812,1
207,1813,0
208,1814,1
209,1821,0
210,1822,2
211,1823,0
212,1824,1
213,1831,1
214,1832,1
215,1833,4
216,1834,1
217,1911,0
218,1912,0
219,1913,4
220,1914,0
221,1915,0
222,1921,2
223,1922,0
224,1923,0
225,1924,1
226,1925,0
227,1931,2
228,1932,0
229,1933,0
230,1934,0
231,1935,0
232,2011,0
233,2012,0
234,2013,0
235,2022,0
236,2023,2
237,2024,0
238,2031,0
239,2032,2
240,2033,0
241,2211,0
242,2212,0
243,2213,0
244,2221,0
245,2222,0
246,2223,0
247,2232,0
248,2233,0
249,2234,0
250,2411,0
251,2412,0
252,2413,0
253,2422,2
254,2423,0
255,2424,0
256,2431,0
257,2432,0
258,2433,0
259,2511,0
260,2512,2
261,2513,0
262,2514,0
263,2515,0
264,2521,0
265,2522,0
266,2523,0
267,2524,0
268,2525,0
269,2531,0
270,2532,0
271,2533,4
272,2534,0
273,2535,0
