,doc,topic
0,111,0
1,112,0
2,113,3
3,114,4
4,121,4
5,122,3
6,123,0
7,124,0
8,131,0
9,132,4
10,133,1
11,211,1
12,212,1
13,213,1
14,214,1
15,215,1
16,221,1
17,222,1
18,223,1
19,224,1
20,225,1
21,231,1
22,232,1
23,233,1
24,234,1
25,235,1
26,311,1
27,312,1
28,313,1
29,314,1
30,321,1
31,322,1
32,323,1
33,324,1
34,331,1
35,332,1
36,333,1
37,334,1
38,411,1
39,412,1
40,413,1
41,414,1
42,421,1
43,422,1
44,423,1
45,424,1
46,431,1
47,432,1
48,433,1
49,434,1
50,511,1
51,512,1
52,513,0
53,522,1
54,523,1
55,524,1
56,531,1
57,532,1
58,533,1
59,611,1
60,612,1
61,613,1
62,614,1
63,621,1
64,622,0
65,623,1
66,624,1
67,631,1
68,632,0
69,633,1
70,634,1
71,711,1
72,712,1
73,713,1
74,714,1
75,715,1
76,722,1
77,723,1
78,724,1
79,725,1
80,726,1
81,731,1
82,732,1
83,733,1
84,734,1
85,735,1
86,811,1
87,812,1
88,813,2
89,814,1
90,815,4
91,821,4
92,822,1
93,823,1
94,824,1
95,825,1
96,831,1
97,832,1
98,833,0
99,834,1
100,835,1
101,911,4
102,912,0
103,913,1
104,914,1
105,915,1
106,921,1
107,922,1
108,923,1
109,924,0
110,925,1
111,931,1
112,932,1
113,933,1
114,934,1
115,935,1
116,1011,1
117,1012,1
118,1013,1
119,1014,1
120,1021,1
121,1022,1
122,1023,1
123,1024,1
124,1031,1
125,1032,1
126,1033,1
127,1034,1
128,1111,1
129,1112,1
130,1113,1
131,1114,1
132,1115,1
133,1121,1
134,1122,1
135,1123,1
136,1124,1
137,1125,1
138,1131,1
139,1132,1
140,1133,1
141,1134,1
142,1135,1
143,1211,1
144,1212,1
145,1213,1
146,1214,4
147,1215,1
148,1221,1
149,1222,1
150,1223,1
151,1224,4
152,1225,1
153,1231,1
154,1232,0
155,1233,0
156,1234,1
157,1235,1
158,1411,1
159,1412,1
160,1413,1
161,1414,1
162,1421,1
163,1422,1
164,1423,1
165,1424,1
166,1431,1
167,1432,4
168,1433,4
169,1434,1
170,1511,1
171,1512,1
172,1513,1
173,1522,1
174,1523,1
175,1524,1
176,1531,1
177,1532,1
178,1533,1
179,1611,1
180,1612,1
181,1613,1
182,1614,1
183,1621,1
184,1622,1
185,1623,1
186,1624,1
187,1631,1
188,1632,1
189,1633,1
190,1634,1
191,1651,2
192,1652,2
193,1653,2
194,1654,2
195,1655,2
196,1711,1
197,1712,1
198,1713,1
199,1722,0
200,1723,1
201,1724,1
202,1731,1
203,1732,1
204,1733,1
205,1811,1
206,1812,1
207,1813,1
208,1814,4
209,1821,1
210,1822,0
211,1823,1
212,1824,3
213,1831,3
214,1832,3
215,1833,0
216,1834,3
217,1911,1
218,1912,1
219,1913,0
220,1914,1
221,1915,1
222,1921,1
223,1922,1
224,1923,1
225,1924,1
226,1925,1
227,1931,0
228,1932,1
229,1933,1
230,1934,0
231,1935,1
232,2011,1
233,2012,1
234,2013,1
235,2022,1
236,2023,0
237,2024,1
238,2031,1
239,2032,1
240,2033,1
241,2211,1
242,2212,1
243,2213,1
244,2221,1
245,2222,1
246,2223,1
247,2232,1
248,2233,1
249,2234,1
250,2411,1
251,2412,1
252,2413,1
253,2422,0
254,2423,1
255,2424,1
256,2431,1
257,2432,1
258,2433,1
259,2511,1
260,2512,0
261,2513,1
262,2514,1
263,2515,1
264,2521,1
265,2522,1
266,2523,1
267,2524,1
268,2525,1
269,2531,1
270,2532,1
271,2533,0
272,2534,1
273,2535,1
